ID,Sales Person,Geo,Product,Date,Amount,Customers,Boxes
30,Van Tuxwell,Canada,50% Dark Bites,1/4/2021,"$3,920 ",16,262
31,Beverie Moffet,Canada,70% Dark Bites,1/4/2021,"$7,539 ",502,943
32,Van Tuxwell,India,Organic Choco Syrup,1/5/2021,"$17,248 ",163,664
33,Madelene Upcott,UK,Almond Choco,1/5/2021,"$1,176 ",152,66
34,Rafaelita Blaksland,Australia,85% Dark Bars,1/5/2021,"$9,730 ",361,573
35,Marney O'Breen,New Zealand,85% Dark Bars,1/5/2021,"$2,226 ",129,140
36,Madelene Upcott,UK,Fruit & Nut Bars,1/5/2021,"$7,063 ",250,643
37,Kaine Padly,New Zealand,After Nines,1/5/2021,"$7,399 ",420,275
38,Wilone O'Kielt,USA,Orange Choco,1/5/2021,"$4,284 ",230,306
39,Kaine Padly,New Zealand,Raspberry Choco,1/5/2021,"$4,865 ",168,271
40,Curtice Advani,New Zealand,70% Dark Bites,1/5/2021,"$3,780 ",111,315
41,Jan Morforth,India,Orange Choco,1/5/2021,"$3,059 ",484,279
42,Husein Augar,UK,After Nines,1/5/2021,"$6,622 ",57,276
43,Wilone O'Kielt,India,Smooth Sliky Salty,1/6/2021,$644 ,116,34
44,Ches Bonnell,India,After Nines,1/6/2021,"$4,935 ",87,171
45,Jan Morforth,UK,Peanut Butter Cubes,1/6/2021,"$7,182 ",29,378
46,Andria Kimpton,Australia,Orange Choco,1/6/2021,$539 ,10,77
47,Oby Sorrel,UK,70% Dark Bites,1/6/2021,$637 ,79,91
48,Kaine Padly,USA,Baker's Choco Chips,1/6/2021,"$1,470 ",57,184
49,Brien Boise,USA,85% Dark Bars,1/6/2021,"$1,442 ",108,61
50,Husein Augar,USA,Smooth Sliky Salty,1/6/2021,"$9,023 ",224,564
51,Gunar Cockshoot,UK,Milk Bars,1/6/2021,"$2,709 ",27,101
52,Beverie Moffet,Canada,Choco Coated Almonds,1/7/2021,"$5,733 ",193,338
53,Gigi Bohling,Canada,50% Dark Bites,1/7/2021,"$10,451 ",155,1307
54,Madelene Upcott,India,Manuka Honey Choco,1/7/2021,"$11,228 ",236,388
55,Kelci Walkden,UK,Caramel Stuffed Bars,1/7/2021,"$3,073 ",137,129
56,Andria Kimpton,Australia,85% Dark Bars,1/7/2021,"$5,467 ",109,288
57,Ches Bonnell,USA,Smooth Sliky Salty,1/7/2021,"$4,067 ",272,226
58,Dennison Crosswaite,India,Mint Chip Choco,1/8/2021,"$2,814 ",69,149
59,Roddy Speechley,New Zealand,Caramel Stuffed Bars,1/8/2021,"$2,716 ",299,105
60,Jehu Rudeforth,Australia,Orange Choco,1/8/2021,"$3,570 ",61,325
61,Karlen McCaffrey,India,85% Dark Bars,1/8/2021,"$9,562 ",123,479
62,Rafaelita Blaksland,New Zealand,Peanut Butter Cubes,1/8/2021,"$2,373 ",2,104
63,Ches Bonnell,India,Caramel Stuffed Bars,1/8/2021,"$2,807 ",236,123
64,Brien Boise,USA,Milk Bars,1/8/2021,$420 ,196,14
65,Curtice Advani,USA,Raspberry Choco,1/8/2021,"$8,239 ",157,515
66,Gigi Bohling,New Zealand,50% Dark Bites,1/8/2021,"$6,797 ",114,486
67,Jehu Rudeforth,New Zealand,85% Dark Bars,1/8/2021,"$6,048 ",56,319
68,Gigi Bohling,Australia,Raspberry Choco,1/8/2021,$364 ,14,21
69,Beverie Moffet,Australia,White Choc,1/8/2021,"$6,496 ",15,406
70,Roddy Speechley,USA,Orange Choco,1/8/2021,"$1,057 ",45,106
71,Ches Bonnell,UK,Raspberry Choco,1/8/2021,$357 ,185,17
72,Ches Bonnell,Australia,Drinking Coco,1/8/2021,"$6,419 ",359,257
73,Ches Bonnell,Canada,Spicy Special Slims,1/8/2021,"$12,726 ",179,579
74,Marney O'Breen,USA,85% Dark Bars,1/11/2021,"$6,006 ",109,376
75,Kelci Walkden,UK,99% Dark & Pure,1/11/2021,"$5,124 ",33,285
76,Van Tuxwell,New Zealand,Milk Bars,1/11/2021,"$2,709 ",188,113
77,Barr Faughny,Australia,Milk Bars,1/11/2021,"$7,238 ",67,315
78,Curtice Advani,India,White Choc,1/12/2021,"$6,776 ",68,424
79,Husein Augar,UK,Milk Bars,1/12/2021,$189 ,123,8
80,Ches Bonnell,USA,Fruit & Nut Bars,1/12/2021,"$4,669 ",217,390
81,Barr Faughny,Canada,70% Dark Bites,1/12/2021,$490 ,188,35
82,Ches Bonnell,Australia,70% Dark Bites,1/12/2021,"$4,235 ",76,283
83,Jan Morforth,USA,Drinking Coco,1/12/2021,"$4,487 ",161,187
84,Dennison Crosswaite,Canada,Baker's Choco Chips,1/12/2021,"$2,653 ",147,332
85,Wilone O'Kielt,New Zealand,Spicy Special Slims,1/12/2021,"$5,306 ",5,253
86,Marney O'Breen,USA,50% Dark Bites,1/12/2021,"$6,888 ",112,689
87,Ches Bonnell,New Zealand,Organic Choco Syrup,1/12/2021,$721 ,45,24
88,Dotty Strutley,India,Spicy Special Slims,1/12/2021,"$8,610 ",124,345
89,Brien Boise,USA,Fruit & Nut Bars,1/12/2021,"$11,739 ",22,903
90,Marney O'Breen,India,Orange Choco,1/13/2021,"$4,774 ",206,341
91,Brien Boise,Canada,50% Dark Bites,1/13/2021,"$6,307 ",123,789
92,Mallorie Waber,Canada,99% Dark & Pure,1/13/2021,"$4,340 ",168,217
93,Andria Kimpton,India,70% Dark Bites,1/13/2021,"$1,078 ",76,77
94,Jan Morforth,UK,Almond Choco,1/13/2021,"$5,418 ",287,247
95,Gunar Cockshoot,USA,Choco Coated Almonds,1/13/2021,"$6,069 ",268,434
96,Kelci Walkden,USA,Choco Coated Almonds,1/13/2021,"$12,334 ",119,686
97,Ches Bonnell,UK,Drinking Coco,1/13/2021,$728 ,234,32
98,Mallorie Waber,India,Baker's Choco Chips,1/13/2021,"$2,135 ",179,165
99,Kaine Padly,New Zealand,85% Dark Bars,1/13/2021,"$2,121 ",130,89
100,Karlen McCaffrey,UK,Milk Bars,1/14/2021,"$6,881 ",10,222
101,Roddy Speechley,New Zealand,Drinking Coco,1/14/2021,"$1,239 ",97,50
102,Marney O'Breen,Australia,Mint Chip Choco,1/14/2021,"$3,598 ",365,257
103,Madelene Upcott,Canada,Smooth Sliky Salty,1/14/2021,"$6,580 ",210,347
104,Ches Bonnell,UK,Spicy Special Slims,1/14/2021,"$1,127 ",97,54
105,Jehu Rudeforth,India,Peanut Butter Cubes,1/14/2021,"$3,605 ",345,139
106,Andria Kimpton,New Zealand,After Nines,1/14/2021,"$5,096 ",201,196
107,Camilla Castle,USA,99% Dark & Pure,1/14/2021,"$2,135 ",183,98
108,Jan Morforth,USA,Raspberry Choco,1/14/2021,$35 ,142,3
109,Husein Augar,India,70% Dark Bites,1/14/2021,"$13,090 ",17,935
110,Gigi Bohling,UK,Smooth Sliky Salty,1/14/2021,"$15,785 ",209,1128
111,Oby Sorrel,Australia,Fruit & Nut Bars,1/14/2021,"$14,574 ",86,810
112,Husein Augar,New Zealand,Caramel Stuffed Bars,1/14/2021,"$3,556 ",195,143
113,Dennison Crosswaite,USA,Fruit & Nut Bars,1/14/2021,"$14,532 ",142,969
114,Van Tuxwell,New Zealand,Caramel Stuffed Bars,1/14/2021,"$4,445 ",340,159
115,Rafaelita Blaksland,USA,Milk Bars,1/14/2021,"$10,339 ",207,357
116,Gunar Cockshoot,New Zealand,After Nines,1/14/2021,"$1,351 ",282,55
117,Dennison Crosswaite,New Zealand,Baker's Choco Chips,1/14/2021,"$4,011 ",260,335
118,Rafaelita Blaksland,UK,Fruit & Nut Bars,1/14/2021,"$5,306 ",333,483
119,Roddy Speechley,USA,After Nines,1/14/2021,"$18,704 ",78,585
120,Mallorie Waber,Canada,Smooth Sliky Salty,1/14/2021,"$9,310 ",62,582
121,Wilone O'Kielt,New Zealand,Eclairs,1/14/2021,"$1,211 ",37,61
122,Andria Kimpton,Canada,Raspberry Choco,1/15/2021,"$3,094 ",317,148
123,Rafaelita Blaksland,New Zealand,Raspberry Choco,1/15/2021,"$4,949 ",244,248
124,Curtice Advani,New Zealand,99% Dark & Pure,1/15/2021,$308 ,91,19
125,Husein Augar,India,Caramel Stuffed Bars,1/15/2021,"$7,546 ",49,329
126,Karlen McCaffrey,USA,85% Dark Bars,1/15/2021,"$6,713 ",422,373
127,Dotty Strutley,New Zealand,Caramel Stuffed Bars,1/15/2021,"$6,895 ",318,300
128,Dennison Crosswaite,New Zealand,Mint Chip Choco,1/15/2021,"$3,430 ",120,202
129,Mallorie Waber,New Zealand,White Choc,1/18/2021,"$4,165 ",61,348
130,Camilla Castle,India,Almond Choco,1/18/2021,"$2,380 ",209,159
131,Gunar Cockshoot,UK,White Choc,1/18/2021,"$6,594 ",114,413
132,Wilone O'Kielt,Australia,Raspberry Choco,1/18/2021,"$1,428 ",55,76
133,Beverie Moffet,Australia,Drinking Coco,1/18/2021,"$2,646 ",150,116
134,Brien Boise,India,Milk Bars,1/18/2021,$238 ,364,11
135,Roddy Speechley,Australia,Raspberry Choco,1/18/2021,$945 ,298,50
136,Husein Augar,UK,Spicy Special Slims,1/18/2021,"$9,436 ",102,337
137,Rafaelita Blaksland,USA,Spicy Special Slims,1/18/2021,"$4,081 ",116,152
138,Wilone O'Kielt,USA,99% Dark & Pure,1/18/2021,"$10,556 ",25,587
139,Barr Faughny,USA,White Choc,1/18/2021,"$2,331 ",38,167
140,Husein Augar,Canada,Organic Choco Syrup,1/19/2021,$896 ,346,32
141,Oby Sorrel,India,Manuka Honey Choco,1/19/2021,"$4,214 ",314,169
142,Oby Sorrel,Canada,Orange Choco,1/19/2021,"$2,121 ",90,177
143,Van Tuxwell,India,85% Dark Bars,1/19/2021,"$1,029 ",386,47
144,Ches Bonnell,India,Mint Chip Choco,1/19/2021,"$15,407 ",103,771
145,Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,1/19/2021,"$10,129 ",134,406
146,Jan Morforth,USA,Smooth Sliky Salty,1/19/2021,"$16,380 ",203,1092
147,Roddy Speechley,India,White Choc,1/19/2021,"$3,899 ",102,279
148,Gigi Bohling,Canada,Spicy Special Slims,1/19/2021,"$12,075 ",264,432
149,Husein Augar,USA,Manuka Honey Choco,1/19/2021,"$10,696 ",115,428
150,Beverie Moffet,USA,Almond Choco,1/19/2021,"$4,039 ",436,238
151,Madelene Upcott,India,Peanut Butter Cubes,1/19/2021,"$5,250 ",410,202
152,Mallorie Waber,India,99% Dark & Pure,1/19/2021,"$8,113 ",25,508
153,Ches Bonnell,UK,Eclairs,1/19/2021,$161 ,95,10
154,Kaine Padly,UK,Spicy Special Slims,1/19/2021,"$8,218 ",205,294
155,Curtice Advani,Australia,Baker's Choco Chips,1/19/2021,$742 ,80,53
156,Gunar Cockshoot,USA,After Nines,1/19/2021,"$3,087 ",193,111
157,Ches Bonnell,India,Manuka Honey Choco,1/19/2021,"$5,110 ",131,155
158,Wilone O'Kielt,New Zealand,Raspberry Choco,1/19/2021,"$5,873 ",164,267
159,Husein Augar,UK,Mint Chip Choco,1/19/2021,"$4,641 ",301,357
160,Wilone O'Kielt,New Zealand,Peanut Butter Cubes,1/20/2021,"$1,155 ",34,45
161,Brien Boise,UK,50% Dark Bites,1/20/2021,$784 ,247,49
162,Camilla Castle,New Zealand,Mint Chip Choco,1/20/2021,"$5,369 ",16,384
163,Brien Boise,Canada,Eclairs,1/20/2021,$343 ,338,18
164,Brien Boise,UK,70% Dark Bites,1/20/2021,"$7,007 ",38,584
165,Kelci Walkden,India,Baker's Choco Chips,1/20/2021,$126 ,127,13
166,Marney O'Breen,India,99% Dark & Pure,1/20/2021,"$3,073 ",57,134
167,Beverie Moffet,New Zealand,Choco Coated Almonds,1/21/2021,"$7,805 ",86,488
168,Andria Kimpton,UK,After Nines,1/21/2021,"$3,087 ",14,124
169,Jan Morforth,New Zealand,Choco Coated Almonds,1/21/2021,"$9,030 ",85,452
170,Wilone O'Kielt,USA,Smooth Sliky Salty,1/21/2021,"$7,805 ",6,411
171,Madelene Upcott,India,After Nines,1/21/2021,"$6,979 ",38,233
172,Beverie Moffet,India,Drinking Coco,1/21/2021,"$11,284 ",39,513
173,Rafaelita Blaksland,Australia,Milk Bars,1/21/2021,"$2,408 ",106,90
174,Gunar Cockshoot,UK,50% Dark Bites,1/21/2021,"$5,299 ",86,332
175,Brien Boise,UK,Organic Choco Syrup,1/21/2021,"$6,293 ",158,234
176,Ches Bonnell,Australia,Almond Choco,1/21/2021,$280 ,408,17
177,Gigi Bohling,India,85% Dark Bars,1/21/2021,$644 ,483,30
178,Kaine Padly,Australia,Choco Coated Almonds,1/21/2021,"$2,191 ",65,110
179,Marney O'Breen,New Zealand,Choco Coated Almonds,1/21/2021,$427 ,267,26
180,Dotty Strutley,Canada,Smooth Sliky Salty,1/21/2021,"$5,537 ",346,426
181,Madelene Upcott,Australia,99% Dark & Pure,1/21/2021,$742 ,264,31
182,Van Tuxwell,Canada,85% Dark Bars,1/21/2021,"$4,200 ",457,248
183,Ches Bonnell,UK,Baker's Choco Chips,1/21/2021,"$5,299 ",203,442
184,Ches Bonnell,USA,Caramel Stuffed Bars,1/21/2021,"$3,829 ",286,160
185,Oby Sorrel,New Zealand,Manuka Honey Choco,1/21/2021,"$5,747 ",70,192
186,Curtice Advani,New Zealand,85% Dark Bars,1/21/2021,"$2,345 ",199,147
187,Karlen McCaffrey,New Zealand,Orange Choco,1/22/2021,"$4,312 ",181,616
188,Camilla Castle,New Zealand,85% Dark Bars,1/22/2021,"$1,358 ",68,68
189,Barr Faughny,USA,Orange Choco,1/22/2021,"$13,146 ",85,1644
190,Gigi Bohling,Australia,White Choc,1/22/2021,"$12,047 ",295,927
191,Ches Bonnell,Canada,Smooth Sliky Salty,1/22/2021,"$5,971 ",44,460
192,Marney O'Breen,New Zealand,50% Dark Bites,1/22/2021,"$3,038 ",280,254
193,Oby Sorrel,UK,Organic Choco Syrup,1/22/2021,"$8,022 ",167,268
194,Marney O'Breen,Canada,Baker's Choco Chips,1/22/2021,"$2,226 ",1,248
195,Brien Boise,Canada,Caramel Stuffed Bars,1/22/2021,"$2,366 ",470,79
196,Roddy Speechley,Australia,50% Dark Bites,1/22/2021,"$8,386 ",194,599
197,Gunar Cockshoot,Canada,Organic Choco Syrup,1/22/2021,"$13,230 ",261,576
198,Rafaelita Blaksland,UK,Almond Choco,1/22/2021,"$1,771 ",151,111
199,Jan Morforth,UK,Raspberry Choco,1/22/2021,"$3,416 ",458,228
200,Rafaelita Blaksland,UK,85% Dark Bars,1/22/2021,"$15,197 ",11,634
201,Ches Bonnell,New Zealand,Baker's Choco Chips,1/22/2021,"$5,971 ",59,498
202,Dennison Crosswaite,UK,Orange Choco,1/22/2021,"$13,335 ",227,1667
203,Van Tuxwell,Canada,Choco Coated Almonds,1/22/2021,"$4,613 ",54,210
204,Karlen McCaffrey,India,Fruit & Nut Bars,1/22/2021,"$10,430 ",110,580
205,Oby Sorrel,USA,Almond Choco,1/22/2021,$168 ,94,10
206,Camilla Castle,UK,99% Dark & Pure,1/22/2021,"$4,606 ",256,192
207,Husein Augar,UK,White Choc,1/22/2021,"$1,491 ",193,136
208,Dennison Crosswaite,India,99% Dark & Pure,1/25/2021,"$12,194 ",302,509
209,Karlen McCaffrey,UK,Raspberry Choco,1/25/2021,"$10,122 ",206,533
210,Andria Kimpton,Australia,99% Dark & Pure,1/25/2021,"$1,841 ",164,88
211,Marney O'Breen,UK,Orange Choco,1/25/2021,"$6,958 ",337,580
212,Kaine Padly,India,99% Dark & Pure,1/25/2021,$749 ,323,35
213,Marney O'Breen,UK,Raspberry Choco,1/25/2021,"$3,507 ",48,195
214,Rafaelita Blaksland,New Zealand,Baker's Choco Chips,1/25/2021,"$7,294 ",122,562
215,Brien Boise,India,Fruit & Nut Bars,1/25/2021,"$5,040 ",219,420
216,Brien Boise,India,Organic Choco Syrup,1/25/2021,"$3,913 ",257,157
217,Andria Kimpton,USA,50% Dark Bites,1/25/2021,"$3,598 ",101,300
218,Beverie Moffet,USA,Spicy Special Slims,1/25/2021,"$8,911 ",302,319
219,Ches Bonnell,New Zealand,Peanut Butter Cubes,1/25/2021,$42 ,35,2
220,Jan Morforth,India,Choco Coated Almonds,1/25/2021,"$2,282 ",222,109
221,Van Tuxwell,Canada,99% Dark & Pure,1/25/2021,"$12,964 ",242,541
222,Andria Kimpton,Canada,Smooth Sliky Salty,1/25/2021,"$5,775 ",219,361
223,Marney O'Breen,New Zealand,Spicy Special Slims,1/25/2021,"$10,787 ",100,400
224,Oby Sorrel,Australia,Choco Coated Almonds,1/25/2021,"$6,342 ",115,374
225,Dotty Strutley,India,Peanut Butter Cubes,1/25/2021,"$11,564 ",46,463
226,Gunar Cockshoot,USA,Raspberry Choco,1/25/2021,"$2,793 ",37,156
227,Madelene Upcott,Canada,70% Dark Bites,1/25/2021,"$1,603 ",81,134
228,Curtice Advani,Australia,Almond Choco,1/25/2021,"$3,052 ",357,180
229,Karlen McCaffrey,Canada,Choco Coated Almonds,1/25/2021,"$1,659 ",82,83
230,Barr Faughny,New Zealand,Mint Chip Choco,1/25/2021,"$3,143 ",82,210
231,Dennison Crosswaite,USA,Choco Coated Almonds,1/25/2021,"$12,782 ",212,609
232,Mallorie Waber,New Zealand,70% Dark Bites,1/25/2021,$343 ,313,32
233,Brien Boise,New Zealand,White Choc,1/25/2021,"$1,785 ",216,138
234,Brien Boise,Canada,Orange Choco,1/25/2021,"$4,914 ",46,615
235,Madelene Upcott,UK,White Choc,1/26/2021,"$1,869 ",242,208
236,Wilone O'Kielt,India,Spicy Special Slims,1/26/2021,"$8,512 ",173,387
237,Van Tuxwell,UK,Orange Choco,1/26/2021,"$9,296 ",1,716
238,Oby Sorrel,Australia,Drinking Coco,1/26/2021,"$6,034 ",229,263
239,Jehu Rudeforth,India,After Nines,1/26/2021,"$9,471 ",166,365
240,Kelci Walkden,India,Peanut Butter Cubes,1/26/2021,"$3,815 ",146,166
241,Barr Faughny,New Zealand,Eclairs,1/26/2021,"$9,485 ",140,527
242,Marney O'Breen,USA,Organic Choco Syrup,1/26/2021,"$3,549 ",78,132
243,Wilone O'Kielt,UK,Orange Choco,1/26/2021,"$1,512 ",61,117
244,Jan Morforth,Canada,Organic Choco Syrup,1/26/2021,"$2,296 ",113,96
245,Husein Augar,India,Milk Bars,1/27/2021,"$17,402 ",43,697
246,Kelci Walkden,UK,Fruit & Nut Bars,1/27/2021,"$11,816 ",160,844
247,Rafaelita Blaksland,New Zealand,Organic Choco Syrup,1/27/2021,"$10,612 ",232,425
248,Barr Faughny,USA,Milk Bars,1/27/2021,"$5,558 ",263,192
249,Mallorie Waber,UK,Raspberry Choco,1/27/2021,"$14,056 ",148,781
250,Andria Kimpton,USA,Organic Choco Syrup,1/27/2021,"$5,131 ",171,166
251,Marney O'Breen,USA,99% Dark & Pure,1/27/2021,"$1,477 ",352,87
252,Curtice Advani,Australia,Raspberry Choco,1/27/2021,"$7,686 ",72,549
253,Van Tuxwell,UK,85% Dark Bars,1/27/2021,"$8,722 ",35,460
254,Ches Bonnell,UK,Organic Choco Syrup,1/27/2021,"$6,370 ",35,206
255,Gunar Cockshoot,UK,85% Dark Bars,1/27/2021,"$4,074 ",208,240
256,Roddy Speechley,New Zealand,After Nines,1/27/2021,"$1,309 ",97,51
257,Kaine Padly,Australia,Smooth Sliky Salty,1/27/2021,"$4,991 ",137,357
258,Wilone O'Kielt,Canada,Peanut Butter Cubes,1/27/2021,"$6,965 ",91,367
259,Kelci Walkden,Australia,Manuka Honey Choco,1/27/2021,"$10,199 ",497,408
260,Karlen McCaffrey,New Zealand,Choco Coated Almonds,1/27/2021,"$7,392 ",9,390
261,Barr Faughny,New Zealand,Fruit & Nut Bars,1/27/2021,"$5,880 ",71,392
262,Wilone O'Kielt,USA,After Nines,1/27/2021,"$5,950 ",25,238
263,Dotty Strutley,USA,Organic Choco Syrup,1/27/2021,"$10,395 ",57,336
264,Jehu Rudeforth,India,Drinking Coco,1/27/2021,"$6,174 ",33,247
265,Wilone O'Kielt,New Zealand,70% Dark Bites,1/27/2021,"$15,239 ",170,1524
266,Mallorie Waber,Canada,Orange Choco,1/27/2021,"$2,219 ",145,247
267,Rafaelita Blaksland,New Zealand,70% Dark Bites,1/27/2021,"$3,150 ",70,243
268,Rafaelita Blaksland,UK,Baker's Choco Chips,1/27/2021,"$2,968 ",216,212
269,Dennison Crosswaite,Canada,Mint Chip Choco,1/27/2021,"$3,241 ",199,163
270,Kelci Walkden,Canada,Drinking Coco,1/27/2021,"$3,605 ",120,151
271,Oby Sorrel,Canada,99% Dark & Pure,1/28/2021,"$3,640 ",169,174
272,Husein Augar,Canada,99% Dark & Pure,1/28/2021,"$1,309 ",294,77
273,Jan Morforth,India,Eclairs,1/28/2021,"$10,346 ",131,739
274,Kelci Walkden,Canada,Raspberry Choco,1/28/2021,"$1,071 ",359,54
275,Husein Augar,UK,70% Dark Bites,1/28/2021,"$6,328 ",119,791
276,Kaine Padly,Canada,After Nines,1/28/2021,"$1,820 ",143,68
277,Andria Kimpton,India,Choco Coated Almonds,1/28/2021,"$3,437 ",179,157
278,Rafaelita Blaksland,UK,White Choc,1/28/2021,"$4,550 ",214,455
279,Barr Faughny,Canada,Drinking Coco,1/28/2021,"$2,968 ",259,110
280,Dotty Strutley,USA,Eclairs,1/28/2021,"$12,565 ",4,898
281,Rafaelita Blaksland,Canada,Milk Bars,1/28/2021,"$8,246 ",294,318
282,Andria Kimpton,India,Mint Chip Choco,1/28/2021,"$1,190 ",137,70
283,Roddy Speechley,New Zealand,Eclairs,1/28/2021,"$3,283 ",146,183
284,Ches Bonnell,Australia,Manuka Honey Choco,1/28/2021,"$3,087 ",300,115
285,Oby Sorrel,India,Choco Coated Almonds,1/28/2021,"$6,531 ",244,297
286,Marney O'Breen,USA,White Choc,1/28/2021,"$4,228 ",55,249
287,Roddy Speechley,USA,Caramel Stuffed Bars,1/28/2021,"$10,094 ",118,389
288,Mallorie Waber,New Zealand,Milk Bars,1/28/2021,$182 ,46,6
289,Jehu Rudeforth,New Zealand,White Choc,1/28/2021,$616 ,151,37
290,Roddy Speechley,USA,Smooth Sliky Salty,1/29/2021,"$12,131 ",121,809
291,Kaine Padly,USA,Drinking Coco,1/29/2021,"$2,394 ",323,93
292,Karlen McCaffrey,India,White Choc,1/29/2021,"$14,287 ",89,841
293,Husein Augar,New Zealand,Almond Choco,1/29/2021,"$10,941 ",185,730
294,Roddy Speechley,UK,Drinking Coco,1/29/2021,"$7,777 ",345,260
295,Curtice Advani,Canada,Orange Choco,1/29/2021,"$9,436 ",7,858
296,Kaine Padly,Canada,Fruit & Nut Bars,1/29/2021,"$1,267 ",104,116
297,Kaine Padly,USA,After Nines,1/29/2021,"$8,806 ",32,327
298,Curtice Advani,UK,Choco Coated Almonds,1/29/2021,"$3,640 ",403,243
299,Kaine Padly,UK,Caramel Stuffed Bars,1/29/2021,"$4,900 ",239,182
300,Madelene Upcott,Australia,White Choc,1/29/2021,"$5,558 ",219,348
301,Camilla Castle,New Zealand,Almond Choco,1/29/2021,"$9,142 ",1,436
302,Dennison Crosswaite,UK,Mint Chip Choco,1/29/2021,"$3,514 ",143,235
303,Beverie Moffet,Canada,50% Dark Bites,1/29/2021,$140 ,91,10
304,Kelci Walkden,UK,Spicy Special Slims,2/1/2021,"$11,844 ",211,439
305,Gunar Cockshoot,New Zealand,Milk Bars,2/1/2021,"$6,517 ",54,233
306,Kaine Padly,India,Milk Bars,2/1/2021,"$8,715 ",24,282
307,Gigi Bohling,India,Organic Choco Syrup,2/1/2021,"$4,851 ",455,180
308,Barr Faughny,USA,Organic Choco Syrup,2/1/2021,"$10,983 ",185,379
309,Mallorie Waber,Australia,Baker's Choco Chips,2/1/2021,"$3,290 ",75,329
310,Husein Augar,Australia,Organic Choco Syrup,2/1/2021,"$6,545 ",86,212
311,Gunar Cockshoot,Canada,70% Dark Bites,2/1/2021,$441 ,7,45
312,Dotty Strutley,India,Choco Coated Almonds,2/1/2021,"$9,849 ",75,580
313,Andria Kimpton,New Zealand,White Choc,2/1/2021,"$3,073 ",9,308
314,Rafaelita Blaksland,USA,Organic Choco Syrup,2/1/2021,"$4,452 ",75,149
315,Karlen McCaffrey,Canada,85% Dark Bars,2/1/2021,"$10,220 ",105,538
316,Andria Kimpton,UK,70% Dark Bites,2/1/2021,"$3,150 ",11,210
317,Kaine Padly,USA,Smooth Sliky Salty,2/1/2021,"$6,083 ",43,381
318,Ches Bonnell,UK,Fruit & Nut Bars,2/1/2021,"$14,063 ",140,1407
319,Kaine Padly,UK,70% Dark Bites,2/1/2021,"$4,578 ",256,306
320,Beverie Moffet,India,White Choc,2/1/2021,"$6,454 ",21,461
321,Kelci Walkden,USA,Manuka Honey Choco,2/2/2021,"$6,650 ",166,256
322,Barr Faughny,India,Peanut Butter Cubes,2/2/2021,"$2,436 ",203,94
323,Mallorie Waber,New Zealand,Choco Coated Almonds,2/2/2021,"$6,944 ",33,331
324,Gigi Bohling,India,After Nines,2/2/2021,"$19,817 ",126,684
325,Barr Faughny,India,50% Dark Bites,2/2/2021,"$3,521 ",50,235
326,Karlen McCaffrey,USA,After Nines,2/2/2021,"$10,458 ",546,327
